20131024,75.9871,76.0671,74.6357,75.0000,96191200
20131025,75.1371,76.1757,75.0157,75.9029,84448000
20131028,75.6971,75.8571,74.7443,75.5771,137610208
20131029,73.8114,77.0357,73.5057,76.6100,158951808
20131030,74.9857,75.3600,73.8600,74.2300,88540896
20131031,74.6714,75.3557,74.4671,75.0000,68924096
20131101,74.2900,74.9714,73.6914,74.8600,68722496
20131104,75.2500,75.2600,74.1157,74.4429,61156900
20131105,75.0643,75.5557,74.7143,74.9400,66303300
20131106,74.4171,74.9800,74.0286,74.8786,55843900
20131107,73.2129,74.7414,73.1971,74.2257,65655100
20131108,74.3657,74.4471,73.2271,73.5114,69829200
20131111,74.1500,74.5243,73.4871,74.2843,56863100
20131112,74.2871,74.8457,73.8571,73.9529,51069200
20131113,74.3757,74.6071,73.8514,74.0000,49305200
20131114,75.4514,75.6114,74.5529,74.6871,70604800
20131115,74.9986,75.5843,74.9271,75.2257,79480096
20131118,74.0900,75.3129,74.0286,74.9986,61236000
20131119,74.2214,74.7686,73.9957,74.1471,52234700
20131120,73.5714,74.3457,73.4757,74.1757,48479200
20131121,74.4486,74.4586,73.3814,73.9429,65506700
20131122,74.2571,74.5943,74.0757,74.2171,55931400
20131125,74.8200,75.1243,74.4286,74.4314,57327900
20131126,76.2000,76.5914,74.8571,74.8743,100345696
20131127,77.9943,78.0000,76.2000,76.6157,90862096
20131129,79.4386,79.7614,78.2586,78.4971,79531904
20131202,78.7471,80.6186,78.6886,79.7143,118136200
20131203,80.9029,80.9114,79.6686,79.7571,112742000
20131204,80.7143,81.3129,80.1171,80.7857,94452400
20131205,81.1286,82.1629,80.9157,81.8071,111895000
20131206,80.0029,80.9643,79.9386,80.8271,86088096
20131209,80.9186,81.3686,80.1286,80.1286,80123400
20131210,80.7929,81.1257,80.1714,80.5114,69567400
20131211,80.1943,81.5671,79.9557,81.0000,89929696
20131212,80.0771,80.7629,80.0043,80.3057,65572500
20131213,79.2043,80.4114,79.0957,80.4071,83205504
20131216,79.6429,80.3771,79.2871,79.2886,70648200
20131217,79.2843,79.9200,79.0543,79.4014,57475600
20131218,78.6814,78.7786,76.9714,78.5286,141465792
20131219,77.7800,78.5714,77.6757,78.5000,80077200
20131220,78.4314,78.8014,77.8314,77.9186,109103400
20131223,81.4414,81.5314,80.3943,81.1429,125326600
20131224,81.0957,81.6971,80.8614,81.4129,41888700
20131226,80.5571,81.3571,80.4829,81.1571,51002000
20131227,80.0129,80.6300,79.9286,80.5457,56471100
